"","Symbol","Price","rank"
"1","BTC","11150.90",1
"2","ETH","1058.24",2
"3","XRP","1.24",3
"4","BCH","1629.88",4
"5","ADA","0.631216",5
"6","XLM","0.621814",6
"7","LTC","177.63",7
"9","NEO","137.54",9
"10","XEM","0.855358",10
"12","DASH","789.01",12
"13","XMR","313.04",13
"16","BTG","180.47",16
"18","QTUM","39.88",18
"19","ETC","28.68",19
"20","LSK","21.45",20
"23","OMG","16.54",23
"25","STEEM","6.23",25
"26","ZEC","454.93",26
"27","XVG","0.089723",27
"30","STRAT","13.03",30
"31","SC","0.039489",31
"33","SNT","0.290769",33
"34","ARDR","0.988424",34
"36","REP","85.28",36
"39","WAVES","8.82",39
"40","DOGE","0.007288",40
"44","KMD","6.62",44
"46","ARK","6.66",46
"50","DCR","89.61",50
"52","BAT","0.541585",52
"53","DGB","0.054589",53
"54","PIVX","9.57",54
"57","DGD","256.63",57
"62","ZCL","146.29",62
"63","GNT","0.551731",63
"64","GBYTE","699.74",64
"67","FUN","0.095948",67
"68","SALT","8.02",68
"72","FCT","43.57",72
"76","POWR","1.02",76
"78","SYS","0.622434",78
"79","NXS","5.86",79
"80","RDD","0.011251",80
"82","ENG","4.30",82
"83","MONA","5.64",83
"85","NXT","0.317657",85
"87","MAID","0.661579",87
"89","BNT","7.11",89
"91","PART","32.68",91
"92","XZC","72.52",92
"96","GAME","4.16",96
"101","PAY","2.36",101
"103","GNO","216.97",103
"104","XDN","0.033815",104
"105","CVC","0.677450",105
"107","EMC","5.44",107
"114","RLC","2.63",114
"118","STORJ","1.49",118
"120","BTCD","147.10",120
"122","VTC","4.39",122
"124","UBQ","4.59",124
"130","ANT","6.38",130
"131","SNGLS","0.282802",131
"136","NAV","2.60",136
"139","MCO","11.84",139
"140","RCN","0.311988",140
"145","MANA","0.137452",145
"151","XCP","51.55",151
"152","EMC2","0.609080",152
"156","ZEN","41.55",156
"157","PPC","5.09",157
"160","BAY","0.122425",160
"166","AGRS","2.79",166
"168","ADX","1.91",168
"169","EDG","1.39",169
"175","ION","5.66",175
"178","MLN","170.95",178
"179","NLG","0.259291",179
"180","QRL","1.95",180
"185","DNT","0.158093",185
"189","WINGS","1.03",189
"191","LBC","0.614596",191
"194","VIA","3.76",194
"196","DCT","1.66",196
"198","THC","0.365120",198
"199","RISE","0.742238",199
"200","BURST","0.045708",200
"201","ADT","0.135526",201
"202","TRIG","2.51",202
"204","CLOAK","15.44",204
"208","1ST","0.886369",208
"209","LUN","32.70",209
"211","AEON","4.85",211
"214","SLS","69.75",214
"215","TRST","0.754797",215
"216","IOC","4.18",216
"221","MER","0.681505",221
"223","GRS","0.976984",223
"231","VOX","0.302178",231
"234","SHIFT","5.37",234
"235","CRW","3.68",235
"237","CFI","0.188998",237
"253","VIB","0.330866",253
"254","TIX","1.34",254
"258","FTC","0.269348",258
"260","POT","0.230891",260
"263","HMQ","0.306071",263
"266","SBD","6.53",266
"267","DMD","17.81",267
"268","VRC","1.47",268
"269","SIB","2.77",269
"274","AMP","0.530769",274
"275","XWC","0.174151",275
"277","XEL","0.483963",277
"282","GUP","0.556462",282
"283","FAIR","0.776869",283
"294","BLK","0.506653",294
"296","SLR","0.979028",296
"298","GRC","0.096361",298
"302","EXP","4.60",302
"304","NMR","27.24",304
"305","GOLOS","0.282407",305
"310","SWT","4.23",310
"314","RADS","9.64",314
"319","OK","0.426401",319
"322","XMY","0.019928",322
"323","MUE","0.248811",323
"325","OMNI","52.69",325
"326","NEOS","8.03",326
"327","RBY","1.15",327
"329","BITB","0.012236",329
"331","NXC","0.426961",331
"338","PTOY","0.386626",338
"353","BSD","1.38",353
"358","INCNT","0.524786",358
"361","DTB","1.05",361
"363","CLAM","8.33",363
"367","ENRG","0.192690",367
"373","LMC","0.102521",373
"378","FLO","0.156189",378
"380","FLDC","0.039108",380
"394","MUSIC","0.036104",394
"395","COVAL","0.020037",395
"401","GCR","0.189810",401
"408","SEQ","0.423005",408
"410","BCY","0.807219",410
"412","XST","0.667441",412
"413","ABY","0.023306",413
"421","SPHR","5.72",421
"425","PINK","0.045141",425
"428","IOP","5.17",428
"430","CURE","0.711331",430
"431","MYST","0.870423",431
"432","SYNX","0.951648",432
"446","SPR","1.61",446
"451","DOPE","0.128015",451
"458","XVC","0.932281",458
"463","GEO","4.17",463
"464","AUR","1.63",464
"473","MEME","0.700840",473
"479","TX","2.06",479
"480","VRM","8.72",480
"488","BRK","0.651229",488
"489","CANN","0.151440",489
"490","CRB","0.706070",490
"492","BLITZ","2.82",492
"495","PTC","0.086852",495
"497","SNRG","3.35",497
"498","QWARK","0.239332",498
"500","KORE","5.43",500
"507","GLD","0.254160",507
"512","USNBT","1.00",512
"517","EXCL","2.11",517
"522","BRX","1.46",522
"528","ERC","0.879405",528
"529","2GIVE","0.016811",529
"539","VTR","0.765639",539
"540","PDC","0.164193",540
"542","TKS","5.23",542
"547","START","0.172358",547
"559","TRUST","0.225194",559
"561","DYN","3.78",561
"577","EGC","0.463458",577
"583","EBST","0.497031",583
"585","EFL","0.359366",585
"598","APX","7.37",598
"599","PKB","1.08",599
"654","UNB","1.29",654
"662","BYC","1.41",662
"665","LGD","1.34",665
"666","INFX","1.56",666
"712","CPC","0.872165",712
"866","BTG","8.13",866
"1168","FAIR","0.071003",1168
"1256","CLUB","2.11",1256
"1268","GBG","0.171455",1268
"1337","RCN","0.000111",1337
